ID,original,tw,ch,en
Showcase_Button3,三次元量床,"","",""
Showcase_Button1,無塵室,"","",""
Showcase_TitleText,千里眼德國蔡司複合式輪廓儀&三次元                ZEISS O-INSPECT322,"","",""
Showcase_InfoBtnText,文字介紹,"","",""
Showcase_InfomationText,●測量範圍(mm):X300.Y200,Z200度量測誤差,光學(1D){um}:1.6+L/200
長度量測誤差,接觸(1D){um}:1.6+L/200O-                  ●四機一體的雙測頭測量機，重現性，可評是否形狀,位置公差範圍內和出 測量結果報告。可                                應用於電子產品、醫療、汽車零件產業、精密機械等多項產業。
●光學和接觸式兩種量測可以同在一台測量機，對一個工件在一次設定中，在一個測量程式裏同時進行兩種量測動作.
ZEISS O-INSPECT 產品特點                                     雙測頭系統—Multi-Sensor systems                                          .● 鏡頭量測系統  :ZEISS顯微鏡 Discovery 採用Carl Zeiss鏡片,鍍層膜高達14層,高解析度,消色差,球面差,複差完全消除。,"","",""
Showcase_Button4,信賴性實驗室,"","",""
Showcase_VideoBtnText,影片列表,"","",""
Showcase_Button2,自動光學式選別機區,"","",""

