ID,original,tw,ch,en
Vist,Vist,進入,入る,Vist
Factory Map,,工廠地圖,工場マップ,Factory Map
TitleCenter,Please select a location,請選擇地點,場所を選んでください。,Please select a location
Instructions_VR_Title0,,轉動你的裝置,デバイスを回転してください。,Move your device
Instructions_VR_Content0,,轉動平板，720度無死角的實境體驗。,タブレットを回転して、720度見回す限りの仮想現実を体験します。,"Move your iPad,720º VR experience."
Instructions_VR_Title1,,點一下,クリック,Click
Instructions_VR_Content1,,點擊藍光閃爍物件，就可得到更多資訊。,青く光っている箇所をクリックして、更なる情報をご覧頂けます。,Click blinking blue light and you can get more inforimation.
PageDone,,開始,スタート,Start
PageBack,,上一步,前へ戻る,Back
PageNext,,下一步,次へ進む,Next
Loading,Loading...,讀取中...,読み込み中...,Loading...
